Building_Name,Carpet_Area,BHK,Floor_Number,Location,Furnished,Type,Bathrooms,Parking,Lift,Railway_Station-KM,Price,Available_for_Rent,Rented_Price
Urban Residency 1,504,4.0,24,Kandivali East,Semi-Furnished,4BHK,1,Yes,Yes,4,1483239,No,0
Sunrise Apartments 2,972,1.0,12,Malad East,,1BHK,1,No,Yes,0,3778621,Yes,18514
Urban View 3,1148,4.0,8,Seawoods,Semi-Furnished,4BHK,2,Yes,Yes,2,2554571,No,0
Sai Chawl,3260,,1,Ghatkopar West,,0BHK,0,Yes,No,2,1934681,No,0
Sai Apartments 5,1975,,18,Kandivali East,Unfurnished,0BHK,2,Yes,Yes,1,1056664,Yes,28289
Galaxy Plaza 6,2421,,1,Chembur,Unfurnished,0BHK,2,No,No,1,1127155,,0
Urban Apartments 7,1888,,1,Ghatkopar East,Furnished,0BHK,3,Yes,No,2,2155196,Yes,36026
,1652,4.0,1,Kurla East,Unfurnished,4BHK,2,No,No,3,1980436,No,0
Sai Chawl,1377,5.0,17,Kurla West,Furnished,5BHK,3,,,3,1055765,No,0
Sunrise View 10,1536,1.0,1,,,1BHK,1,No,No,2,2271395,Yes,18091
Urban Villa 11,2047,4.0,1,Malad West,Unfurnished,4BHK,2,Yes,No,4,2675617,Yes,23826
Shanti Apartments 12,0,2.0,17,Panvel,Semi-Furnished,2BHK,2,No,,4,2206763,No,0
Sai Chawl,849,3.0,0,Santacruz West,Furnished,3BHK,0,No,Yes,2,4471006,,0
Sapphire Enclave 14,955,4.0,11,Kandivali East,Semi-Furnished,4BHK,1,No,Yes,2,3374203,No,0
Sai Chawl,2416,4.0,1,Seawoods,Unfurnished,4BHK,1,No,No,3,2711820,No,0
Elite Estate 16,1121,5.0,11,Nerul,Furnished,5BHK,3,Yes,Yes,1,798956,Yes,24131
Golden Arcade 17,1025,4.0,25,Andheri West,Unfurnished,4BHK,2,Yes,Yes,4,2388414,,0
